Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
15.04.2023 10:45:00;15.04.2023 10:59:59;0,149;;;
15.04.2023 11:00:00;15.04.2023 11:14:59;0,072;;;
15.04.2023 11:15:00;15.04.2023 11:29:59;0,02;;;
15.04.2023 11:30:00;15.04.2023 11:44:59;0,019;;;
15.04.2023 11:45:00;15.04.2023 11:59:59;0,054;;;
15.04.2023 12:00:00;15.04.2023 12:14:59;0,141;;;
15.04.2023 12:15:00;15.04.2023 12:29:59;0,038;;;
15.04.2023 12:30:00;15.04.2023 12:44:59;0,033;;;
15.04.2023 12:45:00;15.04.2023 12:59:59;0,103;;;
15.04.2023 13:00:00;15.04.2023 13:14:59;0,267;;;
15.04.2023 13:15:00;15.04.2023 13:29:59;0,671;;;
15.04.2023 13:30:00;15.04.2023 13:44:59;0,737;;;
15.04.2023 13:45:00;15.04.2023 13:59:59;0,105;;;
15.04.2023 14:00:00;15.04.2023 14:14:59;0,033;;;
15.04.2023 14:15:00;15.04.2023 14:29:59;0,052;;;
15.04.2023 14:30:00;15.04.2023 14:44:59;0,051;;;
15.04.2023 14:45:00;15.04.2023 14:59:59;0,071;;;
15.04.2023 15:00:00;15.04.2023 15:14:59;0,084;;;
15.04.2023 15:15:00;15.04.2023 15:29:59;0,05;;;
15.04.2023 15:30:00;15.04.2023 15:44:59;0,04;;;
15.04.2023 15:45:00;15.04.2023 15:59:59;0,053;;;
15.04.2023 16:00:00;15.04.2023 16:14:59;0,064;;;
15.04.2023 16:15:00;15.04.2023 16:29:59;0,06;;;
15.04.2023 16:30:00;15.04.2023 16:44:59;0,1;;;
15.04.2023 16:45:00;15.04.2023 16:59:59;0,157;;;
15.04.2023 17:00:00;15.04.2023 17:14:59;0,161;;;
15.04.2023 17:15:00;15.04.2023 17:29:59;0,155;;;
15.04.2023 17:30:00;15.04.2023 17:44:59;0,158;;;
15.04.2023 17:45:00;15.04.2023 17:59:59;0,175;;;
15.04.2023 18:00:00;15.04.2023 18:14:59;0,187;;;
15.04.2023 18:15:00;15.04.2023 18:29:59;0,141;;;
15.04.2023 18:30:00;15.04.2023 18:44:59;0,338;;;
15.04.2023 18:45:00;15.04.2023 18:59:59;0,389;;;
15.04.2023 19:00:00;15.04.2023 19:14:59;0,206;;;
15.04.2023 19:15:00;15.04.2023 19:29:59;0,151;;;
15.04.2023 19:30:00;15.04.2023 19:44:59;0,154;;;
15.04.2023 19:45:00;15.04.2023 19:59:59;0,266;;;
15.04.2023 20:00:00;15.04.2023 20:14:59;0,633;;;
15.04.2023 20:15:00;15.04.2023 20:29:59;0,454;;;
15.04.2023 20:30:00;15.04.2023 20:44:59;0,229;;;
15.04.2023 20:45:00;15.04.2023 20:59:59;0,236;;;
15.04.2023 21:00:00;15.04.2023 21:14:59;0,206;;;
15.04.2023 21:15:00;15.04.2023 21:29:59;0,206;;;
15.04.2023 21:30:00;15.04.2023 21:44:59;0,198;;;
15.04.2023 21:45:00;15.04.2023 21:59:59;0,417;;;
15.04.2023 22:00:00;15.04.2023 22:14:59;0,135;;;
