Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
03.11.2023 09:00:00;03.11.2023 09:14:59;0,043;;;
03.11.2023 09:15:00;03.11.2023 09:29:59;0,035;;;
03.11.2023 09:30:00;03.11.2023 09:44:59;0,034;;;
03.11.2023 09:45:00;03.11.2023 09:59:59;0,028;;;
03.11.2023 10:00:00;03.11.2023 10:14:59;0,015;;;
03.11.2023 10:15:00;03.11.2023 10:29:59;0,011;;;
03.11.2023 10:30:00;03.11.2023 10:44:59;0,013;;;
03.11.2023 10:45:00;03.11.2023 10:59:59;0,007;;;
03.11.2023 11:00:00;03.11.2023 11:14:59;0,009;;;
03.11.2023 11:15:00;03.11.2023 11:29:59;0,012;;;
03.11.2023 11:30:00;03.11.2023 11:44:59;0,011;;;
03.11.2023 11:45:00;03.11.2023 11:59:59;0,032;;;
03.11.2023 12:00:00;03.11.2023 12:14:59;0,019;;;
03.11.2023 12:15:00;03.11.2023 12:29:59;0,014;;;
03.11.2023 12:30:00;03.11.2023 12:44:59;0,032;;;
03.11.2023 12:45:00;03.11.2023 12:59:59;0,026;;;
03.11.2023 13:00:00;03.11.2023 13:14:59;0,03;;;
03.11.2023 13:15:00;03.11.2023 13:29:59;0,021;;;
03.11.2023 13:30:00;03.11.2023 13:44:59;0,006;;;
03.11.2023 13:45:00;03.11.2023 13:59:59;0,012;;;
03.11.2023 14:00:00;03.11.2023 14:14:59;0,012;;;
03.11.2023 14:15:00;03.11.2023 14:29:59;0,007;;;
03.11.2023 14:30:00;03.11.2023 14:44:59;0,022;;;
03.11.2023 14:45:00;03.11.2023 14:59:59;0,033;;;
03.11.2023 15:00:00;03.11.2023 15:14:59;0,043;;;
03.11.2023 15:15:00;03.11.2023 15:29:59;0,047;;;
03.11.2023 15:30:00;03.11.2023 15:44:59;0,029;;;
03.11.2023 15:45:00;03.11.2023 15:59:59;0,069;;;
03.11.2023 16:00:00;03.11.2023 16:14:59;0,035;;;
03.11.2023 16:15:00;03.11.2023 16:29:59;0,032;;;
03.11.2023 16:30:00;03.11.2023 16:44:59;0,058;;;
03.11.2023 16:45:00;03.11.2023 16:59:59;0,048;;;
03.11.2023 17:00:00;03.11.2023 17:14:59;0,051;;;
03.11.2023 17:15:00;03.11.2023 17:29:59;0,047;;;
03.11.2023 17:30:00;03.11.2023 17:44:59;0,037;;;
03.11.2023 17:45:00;03.11.2023 17:59:59;0,047;;;
03.11.2023 18:00:00;03.11.2023 18:14:59;0,05;;;
03.11.2023 18:15:00;03.11.2023 18:29:59;0,044;;;
03.11.2023 18:30:00;03.11.2023 18:44:59;0,05;;;
03.11.2023 18:45:00;03.11.2023 18:59:59;0,038;;;
03.11.2023 19:00:00;03.11.2023 19:14:59;0,046;;;
03.11.2023 19:15:00;03.11.2023 19:29:59;0,144;;;
03.11.2023 19:30:00;03.11.2023 19:44:59;1,055;;;
03.11.2023 19:45:00;03.11.2023 19:59:59;0,633;;;
03.11.2023 20:00:00;03.11.2023 20:14:59;0,474;;;
03.11.2023 20:15:00;03.11.2023 20:29:59;0,495;;;
03.11.2023 20:30:00;03.11.2023 20:44:59;0,648;;;
03.11.2023 20:45:00;03.11.2023 20:59:59;0,342;;;
03.11.2023 21:00:00;03.11.2023 21:14:59;0,456;;;
03.11.2023 21:15:00;03.11.2023 21:29:59;0,479;;;
03.11.2023 21:30:00;03.11.2023 21:44:59;0,63;;;
03.11.2023 21:45:00;03.11.2023 21:59:59;0,542;;;
03.11.2023 22:00:00;03.11.2023 22:14:59;0,488;;;
03.11.2023 22:15:00;03.11.2023 22:29:59;0,406;;;
03.11.2023 22:30:00;03.11.2023 22:44:59;0,417;;;
03.11.2023 22:45:00;03.11.2023 22:59:59;0,526;;;
03.11.2023 23:00:00;03.11.2023 23:14:59;0,542;;;
03.11.2023 23:15:00;03.11.2023 23:29:59;0,476;;;
03.11.2023 23:30:00;03.11.2023 23:44:59;0,398;;;
03.11.2023 23:45:00;03.11.2023 23:59:59;0,226;;;
04.11.2023 00:00:00;04.11.2023 00:14:59;0,409;;;
04.11.2023 00:15:00;04.11.2023 00:29:59;0,51;;;
04.11.2023 00:30:00;04.11.2023 00:44:59;0,418;;;
04.11.2023 00:45:00;04.11.2023 00:59:59;0,341;;;
04.11.2023 01:00:00;04.11.2023 01:14:59;0,333;;;
04.11.2023 01:15:00;04.11.2023 01:29:59;0,339;;;
04.11.2023 01:30:00;04.11.2023 01:44:59;0,343;;;
04.11.2023 01:45:00;04.11.2023 01:59:59;0,334;;;
04.11.2023 02:00:00;04.11.2023 02:14:59;0,571;;;
04.11.2023 02:15:00;04.11.2023 02:29:59;0,375;;;
04.11.2023 02:30:00;04.11.2023 02:44:59;0,34;;;
04.11.2023 02:45:00;04.11.2023 02:59:59;0,325;;;
04.11.2023 03:00:00;04.11.2023 03:14:59;0,275;;;
04.11.2023 03:15:00;04.11.2023 03:29:59;0,318;;;
04.11.2023 03:30:00;04.11.2023 03:44:59;0,525;;;
04.11.2023 03:45:00;04.11.2023 03:59:59;0,359;;;
04.11.2023 04:00:00;04.11.2023 04:14:59;0,282;;;
04.11.2023 04:15:00;04.11.2023 04:29:59;0,261;;;
04.11.2023 04:30:00;04.11.2023 04:44:59;0,482;;;
04.11.2023 04:45:00;04.11.2023 04:59:59;0,335;;;
04.11.2023 05:00:00;04.11.2023 05:14:59;0,276;;;
04.11.2023 05:15:00;04.11.2023 05:29:59;0,261;;;
04.11.2023 05:30:00;04.11.2023 05:44:59;0,254;;;
04.11.2023 05:45:00;04.11.2023 05:59:59;0,246;;;
04.11.2023 06:00:00;04.11.2023 06:14:59;0,263;;;
04.11.2023 06:15:00;04.11.2023 06:29:59;0,508;;;
04.11.2023 06:30:00;04.11.2023 06:44:59;0,342;;;
04.11.2023 06:45:00;04.11.2023 06:59:59;0,276;;;
04.11.2023 07:00:00;04.11.2023 07:14:59;0,235;;;
04.11.2023 07:15:00;04.11.2023 07:29:59;0,249;;;
04.11.2023 07:30:00;04.11.2023 07:44:59;0,238;;;
04.11.2023 07:45:00;04.11.2023 07:59:59;0,247;;;
04.11.2023 08:00:00;04.11.2023 08:14:59;0,529;;;
04.11.2023 08:15:00;04.11.2023 08:29:59;0,331;;;
04.11.2023 08:30:00;04.11.2023 08:44:59;0,456;;;
04.11.2023 08:45:00;04.11.2023 08:59:59;0,396;;;
04.11.2023 09:00:00;04.11.2023 09:14:59;0,247;;;
04.11.2023 09:15:00;04.11.2023 09:29:59;0,235;;;
04.11.2023 09:30:00;04.11.2023 09:44:59;0,098;;;
04.11.2023 09:45:00;04.11.2023 09:59:59;0,068;;;
04.11.2023 10:00:00;04.11.2023 10:14:59;0,071;;;
04.11.2023 10:15:00;04.11.2023 10:29:59;0,111;;;
04.11.2023 10:30:00;04.11.2023 10:44:59;0,014;;;
04.11.2023 10:45:00;04.11.2023 10:59:59;0,007;;;
04.11.2023 11:00:00;04.11.2023 11:14:59;0,002;;;
04.11.2023 11:15:00;04.11.2023 11:29:59;0;;;
04.11.2023 11:30:00;04.11.2023 11:44:59;0;;;
04.11.2023 11:45:00;04.11.2023 11:59:59;0,003;;;
04.11.2023 12:00:00;04.11.2023 12:14:59;0;;;
04.11.2023 12:15:00;04.11.2023 12:29:59;0;;;
04.11.2023 12:30:00;04.11.2023 12:44:59;0;;;
04.11.2023 12:45:00;04.11.2023 12:59:59;0,002;;;
04.11.2023 13:00:00;04.11.2023 13:14:59;0,021;;;
04.11.2023 13:15:00;04.11.2023 13:29:59;0,062;;;
04.11.2023 13:30:00;04.11.2023 13:44:59;0,053;;;
04.11.2023 13:45:00;04.11.2023 13:59:59;0,043;;;
04.11.2023 14:00:00;04.11.2023 14:14:59;0,023;;;
04.11.2023 14:15:00;04.11.2023 14:29:59;0,049;;;
04.11.2023 14:30:00;04.11.2023 14:44:59;0,071;;;
04.11.2023 14:45:00;04.11.2023 14:59:59;0,071;;;
04.11.2023 15:00:00;04.11.2023 15:14:59;0,07;;;
04.11.2023 15:15:00;04.11.2023 15:29:59;0,07;;;
04.11.2023 15:30:00;04.11.2023 15:44:59;0,081;;;
04.11.2023 15:45:00;04.11.2023 15:59:59;0,063;;;
04.11.2023 16:00:00;04.11.2023 16:14:59;0,222;;;
04.11.2023 16:15:00;04.11.2023 16:29:59;0,218;;;
04.11.2023 16:30:00;04.11.2023 16:44:59;0,2;;;
04.11.2023 16:45:00;04.11.2023 16:59:59;0,197;;;
04.11.2023 17:00:00;04.11.2023 17:14:59;0,201;;;
04.11.2023 17:15:00;04.11.2023 17:29:59;0,201;;;
04.11.2023 17:30:00;04.11.2023 17:44:59;0,192;;;
04.11.2023 17:45:00;04.11.2023 17:59:59;0,213;;;
04.11.2023 18:00:00;04.11.2023 18:14:59;0,201;;;
04.11.2023 18:15:00;04.11.2023 18:29:59;0,202;;;
04.11.2023 18:30:00;04.11.2023 18:44:59;0,204;;;
04.11.2023 18:45:00;04.11.2023 18:59:59;0,229;;;
04.11.2023 19:00:00;04.11.2023 19:14:59;0,864;;;
04.11.2023 19:15:00;04.11.2023 19:29:59;0,891;;;
04.11.2023 19:30:00;04.11.2023 19:44:59;0,909;;;
04.11.2023 19:45:00;04.11.2023 19:59:59;0,672;;;
04.11.2023 20:00:00;04.11.2023 20:14:59;0,763;;;
04.11.2023 20:15:00;04.11.2023 20:29:59;0,443;;;
04.11.2023 20:30:00;04.11.2023 20:44:59;0,562;;;
04.11.2023 20:45:00;04.11.2023 20:59:59;0,476;;;
04.11.2023 21:00:00;04.11.2023 21:14:59;0,465;;;
04.11.2023 21:15:00;04.11.2023 21:29:59;0,422;;;
04.11.2023 21:30:00;04.11.2023 21:44:59;0,417;;;
04.11.2023 21:45:00;04.11.2023 21:59:59;0,438;;;
04.11.2023 22:00:00;04.11.2023 22:14:59;0,334;;;
04.11.2023 22:15:00;04.11.2023 22:29:59;0,337;;;
04.11.2023 22:30:00;04.11.2023 22:44:59;0,333;;;
04.11.2023 22:45:00;04.11.2023 22:59:59;0,299;;;
