Ablesezeitpunkt;Zaehlerstand Gesamt - 1.8.0;Verbrauch Gesamt - 1.8.0;Status Gesamt - 1.8.0;Zaehlerstand Hochtarif - 1.8.1;Verbrauch Hochtarif - 1.8.1;Status Hochtarif - 1.8.1;Zaehlerstand Niedertarif - 1.8.2;Verbrauch Niedertarif - 1.8.2;Status Niedertarif - 1.8.2
2026-04-04T00:30:00.000+02:00;11867,606;0,04;VAL;;;;;;
2026-04-04T00:45:00.000+02:00;11867,646;0,04;VAL;;;;;;
2026-04-04T01:00:00.000+02:00;11867,78;0,134;VAL;;;;;;
2026-04-04T01:15:00.000+02:00;11867,815;0,035;VAL;;;;;;
2026-04-04T01:30:00.000+02:00;11867,841;0,026;VAL;;;;;;
2026-04-04T01:45:00.000+02:00;11867,868;0,027;VAL;;;;;;
2026-04-04T02:00:00.000+02:00;11867,931;0,063;VAL;;;;;;
2026-04-04T02:15:00.000+02:00;11867,981;0,05;VAL;;;;;;
2026-04-04T02:30:00.000+02:00;11868,025;0,044;VAL;;;;;;
2026-04-04T02:45:00.000+02:00;11868,068;0,043;VAL;;;;;;
2026-04-04T03:00:00.000+02:00;11868,097;0,029;VAL;;;;;;
2026-04-04T03:15:00.000+02:00;11868,14;0,043;VAL;;;;;;
2026-04-04T03:30:00.000+02:00;11868,171;0,031;VAL;;;;;;
2026-04-04T03:45:00.000+02:00;11868,206;0,035;VAL;;;;;;
2026-04-04T04:00:00.000+02:00;11868,245;0,039;VAL;;;;;;
2026-04-04T04:15:00.000+02:00;11868,27;0,025;VAL;;;;;;
2026-04-04T04:30:00.000+02:00;11868,309;0,039;VAL;;;;;;
2026-04-04T04:45:00.000+02:00;11868,34;0,031;VAL;;;;;;
2026-04-04T05:00:00.000+02:00;11868,373;0,033;VAL;;;;;;
2026-04-04T05:15:00.000+02:00;11868,406;0,033;VAL;;;;;;
2026-04-04T05:30:00.000+02:00;11868,434;0,028;VAL;;;;;;
2026-04-04T05:45:00.000+02:00;11868,465;0,031;VAL;;;;;;
2026-04-04T06:00:00.000+02:00;11868,494;0,029;VAL;;;;;;
2026-04-04T06:15:00.000+02:00;11868,524;0,03;VAL;;;;;;
2026-04-04T06:30:00.000+02:00;11868,556;0,032;VAL;;;;;;
2026-04-04T06:45:00.000+02:00;11868,574;0,018;VAL;;;;;;
2026-04-04T07:00:00.000+02:00;11868,606;0,032;VAL;;;;;;
2026-04-04T07:15:00.000+02:00;11868,637;0,031;VAL;;;;;;
2026-04-04T07:30:00.000+02:00;11868,656;0,019;VAL;;;;;;
2026-04-04T07:45:00.000+02:00;11868,69;0,034;VAL;;;;;;
2026-04-04T08:00:00.000+02:00;11868,713;0,023;VAL;;;;;;
2026-04-04T08:15:00.000+02:00;11868,738;0,025;VAL;;;;;;
2026-04-04T08:30:00.000+02:00;11868,755;0,017;VAL;;;;;;
2026-04-04T08:45:00.000+02:00;11868,773;0,018;VAL;;;;;;
2026-04-04T09:00:00.000+02:00;11868,788;0,015;VAL;;;;;;
2026-04-04T09:15:00.000+02:00;11868,79;0,002;VAL;;;;;;
2026-04-04T09:30:00.000+02:00;11868,845;0,055;VAL;;;;;;
2026-04-04T09:45:00.000+02:00;11868,845;;VAL;;;;;;
2026-04-04T10:00:00.000+02:00;11868,85;0,005;VAL;;;;;;
2026-04-04T10:15:00.000+02:00;11868,862;0,012;VAL;;;;;;
2026-04-04T10:30:00.000+02:00;11868,867;0,005;VAL;;;;;;
