sep=;
Anlagennummer;Zaehlpunkt;Tarif;Statistikzeitraum Beginn;Statistikzeitraum Ende;Wert;Einheit;Messwert: VAL...gemessen, EST...rechnerisch ermittelt
12345678;AT0080123456789012345678901234567;;02.07.2023 12:00;02.07.2023 12:15;0,038;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 12:15;02.07.2023 12:30;0,019;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 12:30;02.07.2023 12:45;0,015;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 12:45;02.07.2023 13:00;0,034;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 13:00;02.07.2023 13:15;0,023;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 13:15;02.07.2023 13:30;0,017;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 13:30;02.07.2023 13:45;0,026;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 13:45;02.07.2023 14:00;0,026;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 14:00;02.07.2023 14:15;0,015;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 14:15;02.07.2023 14:30;0,02;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 14:30;02.07.2023 14:45;0,031;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 14:45;02.07.2023 15:00;0,012;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 15:00;02.07.2023 15:15;0,014;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 15:15;02.07.2023 15:30;0,049;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 15:30;02.07.2023 15:45;0,026;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 15:45;02.07.2023 16:00;0,013;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 16:00;02.07.2023 16:15;0,03;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 16:15;02.07.2023 16:30;0,057;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 16:30;02.07.2023 16:45;0,048;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 16:45;02.07.2023 17:00;0,041;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 17:00;02.07.2023 17:15;0,045;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 17:15;02.07.2023 17:30;0,131;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 17:30;02.07.2023 17:45;0,438;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 17:45;02.07.2023 18:00;0,42;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 18:00;02.07.2023 18:15;0,138;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 18:15;02.07.2023 18:30;0,077;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 18:30;02.07.2023 18:45;0,395;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 18:45;02.07.2023 19:00;0,266;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 19:00;02.07.2023 19:15;0,23;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 19:15;02.07.2023 19:30;0,04;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 19:30;02.07.2023 19:45;0,056;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 19:45;02.07.2023 20:00;0,039;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 20:00;02.07.2023 20:15;0,032;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 20:15;02.07.2023 20:30;0,045;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 20:30;02.07.2023 20:45;0,029;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 20:45;02.07.2023 21:00;0,026;KWH;VAL
