Startdatum;Enddatum;Zählpunktbezeichnung;Name der Energiegemeinschaft;ID der Energiegemeinschaft;OBIS;OBIS Kurzbeschreibung;Wert;Einheit;Qualität;Qualität Beschreibung
01.09.2025 16:45;01.09.2025 17:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,148;kWh;L1;Echtwert gemessen
01.09.2025 17:00;01.09.2025 17:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,151;kWh;L1;Echtwert gemessen
01.09.2025 17:15;01.09.2025 17:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,156;kWh;L1;Echtwert gemessen
01.09.2025 17:30;01.09.2025 17:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,155;kWh;L1;Echtwert gemessen
01.09.2025 17:45;01.09.2025 18:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,158;kWh;L1;Echtwert gemessen
01.09.2025 18:00;01.09.2025 18:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,147;kWh;L1;Echtwert gemessen
01.09.2025 18:15;01.09.2025 18:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,151;kWh;L1;Echtwert gemessen
01.09.2025 18:30;01.09.2025 18:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,152;kWh;L1;Echtwert gemessen
01.09.2025 18:45;01.09.2025 19:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,149;kWh;L1;Echtwert gemessen
01.09.2025 19:00;01.09.2025 19:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,155;kWh;L1;Echtwert gemessen
01.09.2025 19:15;01.09.2025 19:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,148;kWh;L1;Echtwert gemessen
01.09.2025 19:30;01.09.2025 19:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,147;kWh;L1;Echtwert gemessen
01.09.2025 19:45;01.09.2025 20:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,155;kWh;L1;Echtwert gemessen
01.09.2025 20:00;01.09.2025 20:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,149;kWh;L1;Echtwert gemessen
01.09.2025 20:15;01.09.2025 20:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,154;kWh;L1;Echtwert gemessen
01.09.2025 20:30;01.09.2025 20:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,148;kWh;L1;Echtwert gemessen
01.09.2025 20:45;01.09.2025 21:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,148;kWh;L1;Echtwert gemessen
01.09.2025 21:00;01.09.2025 21:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,154;kWh;L1;Echtwert gemessen
01.09.2025 21:15;01.09.2025 21:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,15;kWh;L1;Echtwert gemessen
01.09.2025 21:30;01.09.2025 21:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,15;kWh;L1;Echtwert gemessen
01.09.2025 21:45;01.09.2025 22:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,151;kWh;L1;Echtwert gemessen
01.09.2025 22:00;01.09.2025 22:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,147;kWh;L1;Echtwert gemessen
01.09.2025 22:15;01.09.2025 22:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,156;kWh;L1;Echtwert gemessen
01.09.2025 22:30;01.09.2025 22:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,149;kWh;L1;Echtwert gemessen
01.09.2025 22:45;01.09.2025 23:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,147;kWh;L1;Echtwert gemessen
01.09.2025 23:00;01.09.2025 23:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,157;kWh;L1;Echtwert gemessen
01.09.2025 23:15;01.09.2025 23:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,154;kWh;L1;Echtwert gemessen
01.09.2025 23:30;01.09.2025 23:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,157;kWh;L1;Echtwert gemessen
01.09.2025 23:45;02.09.2025 00:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,157;kWh;L1;Echtwert gemessen
02.09.2025 00:00;02.09.2025 00:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,152;kWh;L1;Echtwert gemessen
02.09.2025 00:15;02.09.2025 00:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,16;kWh;L1;Echtwert gemessen
02.09.2025 00:30;02.09.2025 00:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,281;kWh;L1;Echtwert gemessen
02.09.2025 00:45;02.09.2025 01:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,168;kWh;L1;Echtwert gemessen
02.09.2025 01:00;02.09.2025 01:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,163;kWh;L1;Echtwert gemessen
02.09.2025 01:15;02.09.2025 01:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,154;kWh;L1;Echtwert gemessen
02.09.2025 01:30;02.09.2025 01:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,16;kWh;L1;Echtwert gemessen
02.09.2025 01:45;02.09.2025 02:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,161;kWh;L1;Echtwert gemessen
02.09.2025 02:00;02.09.2025 02:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,155;kWh;L1;Echtwert gemessen
02.09.2025 02:15;02.09.2025 02:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,159;kWh;L1;Echtwert gemessen
02.09.2025 02:30;02.09.2025 02:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,157;kWh;L1;Echtwert gemessen
02.09.2025 02:45;02.09.2025 03:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,156;kWh;L1;Echtwert gemessen
02.09.2025 03:00;02.09.2025 03:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,161;kWh;L1;Echtwert gemessen
02.09.2025 03:15;02.09.2025 03:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,152;kWh;L1;Echtwert gemessen
02.09.2025 03:30;02.09.2025 03:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,156;kWh;L1;Echtwert gemessen
02.09.2025 03:45;02.09.2025 04:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,175;kWh;L1;Echtwert gemessen
02.09.2025 04:00;02.09.2025 04:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,183;kWh;L1;Echtwert gemessen
02.09.2025 04:15;02.09.2025 04:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,156;kWh;L1;Echtwert gemessen
02.09.2025 04:30;02.09.2025 04:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,168;kWh;L1;Echtwert gemessen
02.09.2025 04:45;02.09.2025 05:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,175;kWh;L1;Echtwert gemessen
02.09.2025 05:00;02.09.2025 05:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,178;kWh;L1;Echtwert gemessen
02.09.2025 05:15;02.09.2025 05:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,175;kWh;L1;Echtwert gemessen
02.09.2025 05:30;02.09.2025 05:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,172;kWh;L1;Echtwert gemessen
02.09.2025 05:45;02.09.2025 06:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,205;kWh;L1;Echtwert gemessen
02.09.2025 06:00;02.09.2025 06:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,154;kWh;L1;Echtwert gemessen
02.09.2025 06:15;02.09.2025 06:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,153;kWh;L1;Echtwert gemessen
02.09.2025 06:30;02.09.2025 06:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,156;kWh;L1;Echtwert gemessen
02.09.2025 06:45;02.09.2025 07:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,16;kWh;L1;Echtwert gemessen
02.09.2025 07:00;02.09.2025 07:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,164;kWh;L1;Echtwert gemessen
02.09.2025 07:15;02.09.2025 07:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,162;kWh;L1;Echtwert gemessen
02.09.2025 07:30;02.09.2025 07:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,156;kWh;L1;Echtwert gemessen
02.09.2025 07:45;02.09.2025 08:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,156;kWh;L1;Echtwert gemessen
02.09.2025 08:00;02.09.2025 08:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,154;kWh;L1;Echtwert gemessen
02.09.2025 08:15;02.09.2025 08:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,153;kWh;L1;Echtwert gemessen
02.09.2025 08:30;02.09.2025 08:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,16;kWh;L1;Echtwert gemessen
02.09.2025 08:45;02.09.2025 09:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,155;kWh;L1;Echtwert gemessen
02.09.2025 09:00;02.09.2025 09:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,155;kWh;L1;Echtwert gemessen
02.09.2025 09:15;02.09.2025 09:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,16;kWh;L1;Echtwert gemessen
02.09.2025 09:30;02.09.2025 09:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,154;kWh;L1;Echtwert gemessen
02.09.2025 09:45;02.09.2025 10:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,152;kWh;L1;Echtwert gemessen
02.09.2025 10:00;02.09.2025 10:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,158;kWh;L1;Echtwert gemessen
02.09.2025 10:15;02.09.2025 10:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,152;kWh;L1;Echtwert gemessen
02.09.2025 10:30;02.09.2025 10:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,192;kWh;L1;Echtwert gemessen
02.09.2025 10:45;02.09.2025 11:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,158;kWh;L1;Echtwert gemessen
02.09.2025 11:00;02.09.2025 11:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,15;kWh;L1;Echtwert gemessen
02.09.2025 11:15;02.09.2025 11:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,155;kWh;L1;Echtwert gemessen
02.09.2025 11:30;02.09.2025 11:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,149;kWh;L1;Echtwert gemessen
02.09.2025 11:45;02.09.2025 12:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,148;kWh;L1;Echtwert gemessen
02.09.2025 12:00;02.09.2025 12:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,151;kWh;L1;Echtwert gemessen
02.09.2025 12:15;02.09.2025 12:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,149;kWh;L1;Echtwert gemessen
02.09.2025 12:30;02.09.2025 12:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,152;kWh;L1;Echtwert gemessen
02.09.2025 12:45;02.09.2025 13:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,148;kWh;L1;Echtwert gemessen
02.09.2025 13:00;02.09.2025 13:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,148;kWh;L1;Echtwert gemessen
02.09.2025 13:15;02.09.2025 13:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,153;kWh;L1;Echtwert gemessen
02.09.2025 13:30;02.09.2025 13:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,148;kWh;L1;Echtwert gemessen
02.09.2025 13:45;02.09.2025 14:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,148;kWh;L1;Echtwert gemessen
02.09.2025 14:00;02.09.2025 14:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,158;kWh;L1;Echtwert gemessen
02.09.2025 14:15;02.09.2025 14:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,152;kWh;L1;Echtwert gemessen
02.09.2025 14:30;02.09.2025 14:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,154;kWh;L1;Echtwert gemessen
02.09.2025 14:45;02.09.2025 15:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,151;kWh;L1;Echtwert gemessen
02.09.2025 15:00;02.09.2025 15:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,152;kWh;L1;Echtwert gemessen
