Messzeitpunkt;Gemessener Verbrauch (kWh);Ersatzwert;
08.01.2023 11:45;0,019;;
08.01.2023 12:00;0,012;;
08.01.2023 12:15;0,059;;
08.01.2023 12:30;0,054;;
08.01.2023 12:45;0,294;;
08.01.2023 13:00;0,589;;
08.01.2023 13:15;0,527;;
08.01.2023 13:30;0,620;;
08.01.2023 13:45;0,071;;
08.01.2023 14:00;0,131;;
08.01.2023 14:15;0,169;;
08.01.2023 14:30;0,453;;
08.01.2023 14:45;0,199;;
08.01.2023 15:00;0,000;;
08.01.2023 15:15;0,012;;
08.01.2023 15:30;0,076;;
08.01.2023 15:45;0,173;;
08.01.2023 16:00;0,180;;
08.01.2023 16:15;0,216;;
08.01.2023 16:30;0,244;;
08.01.2023 16:45;0,237;;
08.01.2023 17:00;0,269;;
08.01.2023 17:15;0,256;;
08.01.2023 17:30;0,355;;
08.01.2023 17:45;0,697;;
08.01.2023 18:00;0,328;;
08.01.2023 18:15;0,136;;
08.01.2023 18:30;0,117;;
08.01.2023 18:45;0,130;;
08.01.2023 19:00;0,439;;
08.01.2023 19:15;0,408;;
08.01.2023 19:30;0,162;;
08.01.2023 19:45;0,181;;
08.01.2023 20:00;0,219;;
08.01.2023 20:15;0,210;;
08.01.2023 20:30;0,128;;
08.01.2023 20:45;0,124;;
08.01.2023 21:00;0,145;;
08.01.2023 21:15;0,147;;
08.01.2023 21:30;0,242;;
08.01.2023 21:45;0,234;;
08.01.2023 22:00;0,125;;
08.01.2023 22:15;0,824;;
08.01.2023 22:30;0,856;;
08.01.2023 22:45;0,868;;
08.01.2023 23:00;0,870;;
08.01.2023 23:15;0,873;;
08.01.2023 23:30;0,859;;
08.01.2023 23:45;0,899;;
09.01.2023 00:00;0,866;;
09.01.2023 00:15;0,850;;
09.01.2023 00:30;0,892;;
09.01.2023 00:45;0,881;;
09.01.2023 01:00;0,878;;
09.01.2023 01:15;0,892;;
09.01.2023 01:30;0,891;;
09.01.2023 01:45;0,851;;
09.01.2023 02:00;0,857;;
09.01.2023 02:15;0,991;;
09.01.2023 02:30;1,063;;
09.01.2023 02:45;1,187;;
09.01.2023 03:00;1,080;;
09.01.2023 03:15;0,913;;
09.01.2023 03:30;0,888;;
09.01.2023 03:45;0,895;;
09.01.2023 04:00;0,898;;
09.01.2023 04:15;0,884;;
09.01.2023 04:30;0,917;;
09.01.2023 04:45;0,917;;
09.01.2023 05:00;0,890;;
09.01.2023 05:15;0,145;;
09.01.2023 05:30;0,103;;
09.01.2023 05:45;0,080;;
09.01.2023 06:00;0,093;;
09.01.2023 06:15;0,188;;
09.01.2023 06:30;0,151;;
09.01.2023 06:45;0,105;;
09.01.2023 07:00;0,151;;
09.01.2023 07:15;0,128;;
09.01.2023 07:30;0,081;;
09.01.2023 07:45;0,084;;
09.01.2023 08:00;0,146;;
09.01.2023 08:15;0,188;;
09.01.2023 08:30;0,147;;
09.01.2023 08:45;0,443;;
09.01.2023 09:00;0,257;;
09.01.2023 09:15;0,168;;
09.01.2023 09:30;0,281;;
09.01.2023 09:45;0,356;;
09.01.2023 10:00;0,055;;
09.01.2023 10:15;0,085;;
09.01.2023 10:30;0,070;;
09.01.2023 10:45;0,019;;
09.01.2023 11:00;0,048;;
09.01.2023 11:15;0,000;;
09.01.2023 11:30;0,175;;
09.01.2023 11:45;0,318;;
