Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
02.10.2023 15:15:00;02.10.2023 15:29:59;0,071;;;
02.10.2023 15:30:00;02.10.2023 15:44:59;0,015;;;
02.10.2023 15:45:00;02.10.2023 15:59:59;0,003;;;
02.10.2023 16:00:00;02.10.2023 16:14:59;0,038;;;
02.10.2023 16:15:00;02.10.2023 16:29:59;0,01;;;
02.10.2023 16:30:00;02.10.2023 16:44:59;0,129;;;
02.10.2023 16:45:00;02.10.2023 16:59:59;0,046;;;
02.10.2023 17:00:00;02.10.2023 17:14:59;0,005;;;
02.10.2023 17:15:00;02.10.2023 17:29:59;0,012;;;
02.10.2023 17:30:00;02.10.2023 17:44:59;0,001;;;
02.10.2023 17:45:00;02.10.2023 17:59:59;0;;;
02.10.2023 18:00:00;02.10.2023 18:14:59;0,003;;;
02.10.2023 18:15:00;02.10.2023 18:29:59;0,005;;;
02.10.2023 18:30:00;02.10.2023 18:44:59;0,001;;;
02.10.2023 18:45:00;02.10.2023 18:59:59;0,074;;;
02.10.2023 19:00:00;02.10.2023 19:14:59;0,49;;;
02.10.2023 19:15:00;02.10.2023 19:29:59;0,256;;;
02.10.2023 19:30:00;02.10.2023 19:44:59;0,257;;;
02.10.2023 19:45:00;02.10.2023 19:59:59;0,178;;;
02.10.2023 20:00:00;02.10.2023 20:14:59;0,097;;;
02.10.2023 20:15:00;02.10.2023 20:29:59;0;;;
02.10.2023 20:30:00;02.10.2023 20:44:59;0;;;
02.10.2023 20:45:00;02.10.2023 20:59:59;0;;;
02.10.2023 21:00:00;02.10.2023 21:14:59;0,002;;;
02.10.2023 21:15:00;02.10.2023 21:29:59;0,001;;;
02.10.2023 21:30:00;02.10.2023 21:44:59;0,003;;;
02.10.2023 21:45:00;02.10.2023 21:59:59;0;;;
02.10.2023 22:00:00;02.10.2023 22:14:59;0;;;
02.10.2023 22:15:00;02.10.2023 22:29:59;0;;;
02.10.2023 22:30:00;02.10.2023 22:44:59;0,005;;;
02.10.2023 22:45:00;02.10.2023 22:59:59;0,008;;;
02.10.2023 23:00:00;02.10.2023 23:14:59;0,037;;;
02.10.2023 23:15:00;02.10.2023 23:29:59;0,058;;;
02.10.2023 23:30:00;02.10.2023 23:44:59;0,059;;;
02.10.2023 23:45:00;02.10.2023 23:59:59;0,045;;;
03.10.2023 00:00:00;03.10.2023 00:14:59;0,05;;;
03.10.2023 00:15:00;03.10.2023 00:29:59;0,041;;;
03.10.2023 00:30:00;03.10.2023 00:44:59;0,05;;;
03.10.2023 00:45:00;03.10.2023 00:59:59;0,047;;;
03.10.2023 01:00:00;03.10.2023 01:14:59;0,037;;;
