"Datum und Uhrzeit";"Lastgänge (306,499 kWh)";"Status"
"2023-06-11 11:15:00";0;"Wert ist gültig"
"2023-06-11 11:30:00";0;"Wert ist gültig"
"2023-06-11 11:45:00";0;"Wert ist gültig"
"2023-06-11 12:00:00";0;"Wert ist gültig"
"2023-06-11 12:15:00";0;"Wert ist gültig"
"2023-06-11 12:30:00";0;"Wert ist gültig"
"2023-06-11 12:45:00";0;"Wert ist gültig"
"2023-06-11 13:00:00";0;"Wert ist gültig"
"2023-06-11 13:15:00";0;"Wert ist gültig"
"2023-06-11 13:30:00";0;"Wert ist gültig"
"2023-06-11 13:45:00";0;"Wert ist gültig"
"2023-06-11 14:00:00";0.002;"Wert ist gültig"
"2023-06-11 14:15:00";0.498;"Wert ist gültig"
"2023-06-11 14:30:00";0.22;"Wert ist gültig"
"2023-06-11 14:45:00";0;"Wert ist gültig"
"2023-06-11 15:00:00";0;"Wert ist gültig"
"2023-06-11 15:15:00";0;"Wert ist gültig"
"2023-06-11 15:30:00";0;"Wert ist gültig"
"2023-06-11 15:45:00";0;"Wert ist gültig"
"2023-06-11 16:00:00";0;"Wert ist gültig"
"2023-06-11 16:15:00";0.309;"Wert ist gültig"
"2023-06-11 16:30:00";0.297;"Wert ist gültig"
"2023-06-11 16:45:00";0.17;"Wert ist gültig"
"2023-06-11 17:00:00";0;"Wert ist gültig"
"2023-06-11 17:15:00";0;"Wert ist gültig"
"2023-06-11 17:30:00";0;"Wert ist gültig"
"2023-06-11 17:45:00";0;"Wert ist gültig"
"2023-06-11 18:00:00";0;"Wert ist gültig"
"2023-06-11 18:15:00";0;"Wert ist gültig"
"2023-06-11 18:30:00";0;"Wert ist gültig"
"2023-06-11 18:45:00";0;"Wert ist gültig"
"2023-06-11 19:00:00";0;"Wert ist gültig"
"2023-06-11 19:15:00";0;"Wert ist gültig"
"2023-06-11 19:30:00";0.002;"Wert ist gültig"
"2023-06-11 19:45:00";0.146;"Wert ist gültig"
"2023-06-11 20:00:00";2.207;"Wert ist gültig"
"2023-06-11 20:15:00";1.026;"Wert ist gültig"
"2023-06-11 20:30:00";0;"Wert ist gültig"
"2023-06-11 20:45:00";0.056;"Wert ist gültig"
"2023-06-11 21:00:00";0.121;"Wert ist gültig"
"2023-06-11 21:15:00";0.122;"Wert ist gültig"
"2023-06-11 21:30:00";0.105;"Wert ist gültig"
"2023-06-11 21:45:00";0.093;"Wert ist gültig"
"2023-06-11 22:00:00";0.067;"Wert ist gültig"
"2023-06-11 22:15:00";0.049;"Wert ist gültig"
"2023-06-11 22:30:00";0.046;"Wert ist gültig"
"2023-06-11 22:45:00";0.056;"Wert ist gültig"
"2023-06-11 23:00:00";0.037;"Wert ist gültig"
"2023-06-11 23:15:00";0.043;"Wert ist gültig"
"2023-06-11 23:30:00";0.064;"Wert ist gültig"
"2023-06-11 23:45:00";0.052;"Wert ist gültig"
"2023-06-12 00:00:00";0.038;"Wert ist gültig"
"2023-06-12 00:15:00";0.064;"Wert ist gültig"
"2023-06-12 00:30:00";0.068;"Wert ist gültig"
"2023-06-12 00:45:00";0.063;"Wert ist gültig"
"2023-06-12 01:00:00";0.07;"Wert ist gültig"
"2023-06-12 01:15:00";0.079;"Wert ist gültig"
"2023-06-12 01:30:00";0.065;"Wert ist gültig"
"2023-06-12 01:45:00";0.038;"Wert ist gültig"
"2023-06-12 02:00:00";0.038;"Wert ist gültig"
"2023-06-12 02:15:00";0.034;"Wert ist gültig"
"2023-06-12 02:30:00";0.049;"Wert ist gültig"
"2023-06-12 02:45:00";0.036;"Wert ist gültig"
"2023-06-12 03:00:00";0.218;"Wert ist gültig"
"2023-06-12 03:15:00";0.226;"Wert ist gültig"
"2023-06-12 03:30:00";0.241;"Wert ist gültig"
"2023-06-12 03:45:00";0.231;"Wert ist gültig"
"2023-06-12 04:00:00";0.057;"Wert ist gültig"
"2023-06-12 04:15:00";0.061;"Wert ist gültig"
"2023-06-12 04:30:00";0.057;"Wert ist gültig"
"2023-06-12 04:45:00";0.069;"Wert ist gültig"
"2023-06-12 05:00:00";0.058;"Wert ist gültig"
"2023-06-12 05:15:00";0.014;"Wert ist gültig"
"2023-06-12 05:30:00";0;"Wert ist gültig"
"2023-06-12 05:45:00";0;"Wert ist gültig"
"2023-06-12 06:00:00";0;"Wert ist gültig"
"2023-06-12 06:15:00";0;"Wert ist gültig"
"2023-06-12 06:30:00";0;"Wert ist gültig"
"2023-06-12 06:45:00";0;"Wert ist gültig"
"2023-06-12 07:00:00";0;"Wert ist gültig"
"2023-06-12 07:15:00";0.014;"Wert ist gültig"
"2023-06-12 07:30:00";0;"Wert ist gültig"
"2023-06-12 07:45:00";0;"Wert ist gültig"
"2023-06-12 08:00:00";0;"Wert ist gültig"
"2023-06-12 08:15:00";0;"Wert ist gültig"
"2023-06-12 08:30:00";0;"Wert ist gültig"
"2023-06-12 08:45:00";0;"Wert ist gültig"
"2023-06-12 09:00:00";0;"Wert ist gültig"
"2023-06-12 09:15:00";0;"Wert ist gültig"
"2023-06-12 09:30:00";0;"Wert ist gültig"
"2023-06-12 09:45:00";0;"Wert ist gültig"
"2023-06-12 10:00:00";0;"Wert ist gültig"
"2023-06-12 10:15:00";0;"Wert ist gültig"
"2023-06-12 10:30:00";0;"Wert ist gültig"
"2023-06-12 10:45:00";0;"Wert ist gültig"
"2023-06-12 11:00:00";0;"Wert ist gültig"
"2023-06-12 11:15:00";0;"Wert ist gültig"
"2023-06-12 11:30:00";0;"Wert ist gültig"
"2023-06-12 11:45:00";0;"Wert ist gültig"
"2023-06-12 12:00:00";0;"Wert ist gültig"
"2023-06-12 12:15:00";0;"Wert ist gültig"
"2023-06-12 12:30:00";0;"Wert ist gültig"
"2023-06-12 12:45:00";0;"Wert ist gültig"
"2023-06-12 13:00:00";0;"Wert ist gültig"
"2023-06-12 13:15:00";0;"Wert ist gültig"
"2023-06-12 13:30:00";0;"Wert ist gültig"
"2023-06-12 13:45:00";0;"Wert ist gültig"
"2023-06-12 14:00:00";0;"Wert ist gültig"
"2023-06-12 14:15:00";0;"Wert ist gültig"
"2023-06-12 14:30:00";0;"Wert ist gültig"
"2023-06-12 14:45:00";0;"Wert ist gültig"
"2023-06-12 15:00:00";0;"Wert ist gültig"
"2023-06-12 15:15:00";0;"Wert ist gültig"
"2023-06-12 15:30:00";0;"Wert ist gültig"
"2023-06-12 15:45:00";0;"Wert ist gültig"
"2023-06-12 16:00:00";0;"Wert ist gültig"
"2023-06-12 16:15:00";0;"Wert ist gültig"
"2023-06-12 16:30:00";0;"Wert ist gültig"
"2023-06-12 16:45:00";0;"Wert ist gültig"
"2023-06-12 17:00:00";0;"Wert ist gültig"
"2023-06-12 17:15:00";0;"Wert ist gültig"
"2023-06-12 17:30:00";0;"Wert ist gültig"
"2023-06-12 17:45:00";0;"Wert ist gültig"
"2023-06-12 18:00:00";0;"Wert ist gültig"
"2023-06-12 18:15:00";0;"Wert ist gültig"
"2023-06-12 18:30:00";0.003;"Wert ist gültig"
"2023-06-12 18:45:00";0.024;"Wert ist gültig"
"2023-06-12 19:00:00";0.001;"Wert ist gültig"
"2023-06-12 19:15:00";0;"Wert ist gültig"
"2023-06-12 19:30:00";0;"Wert ist gültig"
